MD5 hash,Source filename,Source path,Source class,Duplicate filename,Duplicate path,Duplicate class,Image dimensions,File size,Duplicate Category,Label Conflict Status
8d5a99fbbfefdfb607ae179e344ef63f,1.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\1.jpg,Dental Caries,1.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Infection\1.jpg,Infection,1473x799,340394,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
c6180e674a7f72df5f48155cfacbdfaf,10.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\10.jpg,Dental Caries,10.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\10.jpg,Impacted Teeth,1155x591,181167,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
b18399de31936b6a332ed3643ff991d3,104.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\104.jpg,Dental Caries,104.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\104.jpg,Impacted Teeth,1019x545,172718,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
76462911c8525737e608636b811f2d34,108.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\108.jpg,Dental Caries,108.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\108.jpg,Impacted Teeth,1079x532,318722,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
6238b2e6e103a44574187255f638a39d,110.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\110.jpg,Dental Caries,110.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\110.jpg,Impacted Teeth,1199x547,127590,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
0d18bb88cee4b3be14aa1a02064e9810,112.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\112.jpg,Dental Caries,112.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\112.jpg,Impacted Teeth,1142x529,194346,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
02c3698569614936762cb76648e64ede,115.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\115.jpg,Dental Caries,115.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\115.jpg,Impacted Teeth,1139x574,281584,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
c01670d9877771e3babbc6370d1b43e9,116.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\116.jpg,Dental Caries,116.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\116.jpg,Impacted Teeth,937x489,154756,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
34b8cf47dc3133d65974a49504c85863,123.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\123.jpg,Dental Caries,123.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\123.jpg,Impacted Teeth,1137x511,206590,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
14915e404981f744a0b61063565d8ebf,127.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Caries\127.jpg,Dental Caries,127.jpg,C:\Users\My Computer\Downloads\dental_dataset\Dental OPG XRAY Dataset\Dental OPG (Classification)\Impacted teeth\127.jpg,Impacted Teeth,1210x519,265156,A. Exact duplicate with identical image content,CROSS_CLASS_LABEL_CONFLICT
